mode,energy,cumulative
1,0.9749325272646718,0.9749325272646718
2,0.02447555574885391,0.9994080830135258
3,0.000584413191486374,0.9999924962050122
4,7.432284583032688e-06,0.9999999284895952
5,7.107197973270959e-08,0.9999999995615749
6,4.3635437717978614e-10,0.9999999999979293
7,2.0640844794700784e-12,0.9999999999999934
8,6.8719806805120086e-15,1.0000000000000002
9,1.8074011096382687e-17,1.0000000000000002
10,3.5038937838912083e-20,1.0000000000000002
11,5.419521007032814e-23,1.0000000000000002
12,6.288163684827244e-26,1.0000000000000002
13,5.777489242188203e-29,1.0000000000000002
14,3.9635988727999466e-32,1.0000000000000002
15,9.439988197707002e-33,1.0000000000000002
16,7.459117299775758e-34,1.0000000000000002
17,4.952918647587246e-34,1.0000000000000002
18,3.364444406603541e-35,1.0000000000000002
19,2.09254114599821e-35,1.0000000000000002
20,2.767413594812715e-36,1.0000000000000002
